index;nome;grupo;logo;url
1132;Space HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/SpaceLogo.svg/960px-SpaceLogo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223512.ts
1133;Space FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/SpaceLogo.svg/960px-SpaceLogo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223511.ts
1134;Sony SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Sony_Channel_Logo_2019.svg/960px-Sony_Channel_Logo_2019.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223510.ts
1135;Sony HD²;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Sony_Channel_Logo_2019.svg/960px-Sony_Channel_Logo_2019.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223508.ts
1136;Sony HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Sony_Channel_Logo_2019.svg/960px-Sony_Channel_Logo_2019.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223507.ts
1137;Sony FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Sony_Channel_Logo_2019.svg/960px-Sony_Channel_Logo_2019.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223506.ts
1138;Runtime Brasil HD;FILMES E SÉRIES;;http://alphaboxapp3.click:80/878698658teste/181506425/223505.ts
1139;Playpoca Filmes;FILMES E SÉRIES;;http://alphaboxapp3.click:80/878698658teste/181506425/223503.ts
1140;Paramount Channel SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/pt/1/1e/Paramount_Global.svg;http://alphaboxapp3.click:80/878698658teste/181506425/223502.ts
1141;Paramount Channel HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/pt/1/1e/Paramount_Global.svg;http://alphaboxapp3.click:80/878698658teste/181506425/223501.ts
1142;Paramount Channel FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/pt/1/1e/Paramount_Global.svg;http://alphaboxapp3.click:80/878698658teste/181506425/223500.ts
1143;Megapix SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Megapix_fundoclaro_midiaimpressa.png/960px-Megapix_fundoclaro_midiaimpressa.png;http://alphaboxapp3.click:80/878698658teste/181506425/223498.ts
1144;Megapix HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Megapix_fundoclaro_midiaimpressa.png/960px-Megapix_fundoclaro_midiaimpressa.png;http://alphaboxapp3.click:80/878698658teste/181506425/223497.ts
1145;Megapix FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Megapix_fundoclaro_midiaimpressa.png/960px-Megapix_fundoclaro_midiaimpressa.png;http://alphaboxapp3.click:80/878698658teste/181506425/223496.ts
1146;FILM & ARTS HD;FILMES E SÉRIES;;http://alphaboxapp3.click:80/878698658teste/181506425/223492.ts
1147;FILM & ARTS FHD;FILMES E SÉRIES;;http://alphaboxapp3.click:80/878698658teste/181506425/223491.ts
1148;Cinemax SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Cinemax_LA.png/960px-Cinemax_LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223490.ts
1149;Cinemax HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Cinemax_LA.png/960px-Cinemax_LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223489.ts
1150;Cinemax FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Cinemax_LA.png/960px-Cinemax_LA.png;http://alphaboxapp3.click:80/878698658teste/181506425/223488.ts
1151;Cine Brasil TV FHD;FILMES E SÉRIES;;http://alphaboxapp3.click:80/878698658teste/181506425/223484.ts
1152;Canal Brasil SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/CanalBrasil_logos_700px_0-03.png/700px-CanalBrasil_logos_700px_0-03.png;http://alphaboxapp3.click:80/878698658teste/181506425/223483.ts
1153;Canal Brasil HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/CanalBrasil_logos_700px_0-03.png/700px-CanalBrasil_logos_700px_0-03.png;http://alphaboxapp3.click:80/878698658teste/181506425/223482.ts
1154;Canal Brasil FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/CanalBrasil_logos_700px_0-03.png/700px-CanalBrasil_logos_700px_0-03.png;http://alphaboxapp3.click:80/878698658teste/181506425/223481.ts
1155;AXN SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/AXN_logo_%282015%29.svg/960px-AXN_logo_%282015%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223480.ts
1156;AXN HD²;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/AXN_logo_%282015%29.svg/960px-AXN_logo_%282015%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223479.ts
1157;AXN HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/AXN_logo_%282015%29.svg/960px-AXN_logo_%282015%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223478.ts
1158;AXN FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/AXN_logo_%282015%29.svg/960px-AXN_logo_%282015%29.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223477.ts
1159;AMC SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/960px-AMC_logo_2019.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223476.ts
1160;AMC HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/960px-AMC_logo_2019.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223475.ts
1161;AMC FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/960px-AMC_logo_2019.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223474.ts
1162;A&E SD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/A%26E_Network_logo.svg/960px-A%26E_Network_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223473.ts
1163;A&E HD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/A%26E_Network_logo.svg/960px-A%26E_Network_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223472.ts
1164;A&E FHD;FILMES E SÉRIES;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/A%26E_Network_logo.svg/960px-A%26E_Network_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/223471.ts
1165;HBO Xtreme SD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/HBO_Xtreme.svg/960px-HBO_Xtreme.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222789.ts
1166;HBO Xtreme HD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/HBO_Xtreme.svg/960px-HBO_Xtreme.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222788.ts
1167;HBO Xtreme FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/HBO_Xtreme.svg/960px-HBO_Xtreme.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222787.ts
1168;HBO Signature SD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HBO_Signature.svg/500px-HBO_Signature.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222786.ts
1169;HBO Signature HD²;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HBO_Signature.svg/500px-HBO_Signature.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222785.ts
1170;HBO Signature HD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HBO_Signature.svg/500px-HBO_Signature.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222784.ts
1171;HBO Signature FHD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HBO_Signature.svg/500px-HBO_Signature.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222783.ts
1172;HBO SD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/HBO_logo.svg/960px-HBO_logo.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222782.ts
1173;HBO Pop SD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/HBO_Pop.svg/960px-HBO_Pop.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222781.ts
1174;HBO Pop HD²;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/HBO_Pop.svg/960px-HBO_Pop.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222780.ts
1175;HBO Pop HD;HBO;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/HBO_Pop.svg/960px-HBO_Pop.svg.png;http://alphaboxapp3.click:80/878698658teste/181506425/222779.ts
